"Month","Longitude","Latitude","Location","Crime.type"
"2015-01",-5.87635,54.59306," Kirkliston Park","Anti-social behaviour"
"2015-01",-5.819368,54.851015," Broadway","Anti-social behaviour"
"2015-01",-7.351981,55.016206," Drumard Park","Anti-social behaviour"
"2015-01",-5.537864,54.381476," Ballyphilip Road","Anti-social behaviour"
"2015-01",-5.852285,54.617515," Knocknagoney Way","Anti-social behaviour"
"2015-01",-5.920355,54.646171," Shore Road","Anti-social behaviour"
"2015-01",-6.030667,54.552228," Lagmore Meadows","Anti-social behaviour"
"2015-01",-5.877292,54.591001," Orangefield Gardens","Anti-social behaviour"
"2015-01",-6.01381,54.573705," Creeslough Gardens","Anti-social behaviour"
"2015-01",-6.216453,54.590618," Chestnut Glen","Anti-social behaviour"
"2015-01",-5.940006,54.61603," Brookhill Avenue","Anti-social behaviour"
"2015-01",-6.388933,54.443322," Parkmore","Anti-social behaviour"
"2015-01",-6.680628,55.125385," Kylemore Road","Anti-social behaviour"
"2015-01",-6.009672,54.059573," Manse Road","Anti-social behaviour"
"2015-01",-5.927095,54.60262," Hill Street","Anti-social behaviour"
"2015-01",-6.659032,54.346108," Navan Street","Anti-social behaviour"
"2015-01",-5.695135,54.592861," High Street","Anti-social behaviour"
"2015-01",-5.699942,54.577587," Canberra Gardens","Anti-social behaviour"
"2015-01",-5.671813,54.659042," Railwayview Street","Anti-social behaviour"
"2015-01",-5.74428,54.55143," Bridge Street Link","Anti-social behaviour"
"2015-01",-5.780483,54.723656," Boneybefore","Anti-social behaviour"
"2015-01",-5.906363,54.676021," Fernagh Road","Anti-social behaviour"
"2015-01",-5.847552,54.257494," Church View","Anti-social behaviour"
"2015-01",-6.465392,54.425999," Selshion Parade","Anti-social behaviour"
"2015-01",-5.982227,54.593147," Whitecliff Parade","Anti-social behaviour"
"2015-01",-5.704734,54.587275," Carmeen Gardens","Anti-social behaviour"
"2015-01",-7.314174,54.984586," Campion Court","Anti-social behaviour"
"2015-01",-7.639894,54.351765," Drumcor Hill","Anti-social behaviour"
"2015-01",-5.712699,54.322215," Ardpatrick Avenue","Anti-social behaviour"
"2015-01",-5.673962,54.660764," Central Avenue","Anti-social behaviour"
"2015-01",-6.352745,54.183544," First Avenue","Anti-social behaviour"
"2015-01",-5.946687,54.611256," Liffey Court","Anti-social behaviour"
"2015-01",-5.876184,54.605448," Palmerston Road","Anti-social behaviour"
"2015-01",-6.598811,54.752689," Beechland Road","Anti-social behaviour"
"2015-01",-5.88865,54.593078," Beersbridge Road","Anti-social behaviour"
"2015-01",-5.956615,54.687095," Manse Road","Anti-social behaviour"
"2015-01",-6.697073,55.18167," Dunsuivnish Drive","Anti-social behaviour"
"2015-01",-5.968119,54.62974," Ballysillan Park","Anti-social behaviour"
"2015-01",-5.876184,54.605448," Palmerston Road","Anti-social behaviour"
"2015-01",-5.619344,54.675283," Westhill","Anti-social behaviour"
"2015-01",-6.215958,54.722494," Ajax Court","Anti-social behaviour"
"2015-01",-6.356391,54.177754," Castlekeele","Anti-social behaviour"
"2015-01",-5.632742,54.661933," Brooklands Manor","Anti-social behaviour"
"2015-01",-6.213958,54.591767," Main Street","Anti-social behaviour"
