"Location","Month","Crime.type","Latitude","Longitude","Postcode"
"churchroad","2015-01","Anti-socialbehaviour","54.59298","-5.802918","BT448QY"
"churchroad","2015-01","Anti-socialbehaviour","54.195084","-6.399679","BT448QY"
"churchstreet","2015-01","Anti-socialbehaviour","54.420425","-6.446204","BT536DL"
"churchview","2015-01","Anti-socialbehaviour","54.257494","-5.847552","BT413AH"
"cidercourtroad","2015-01","Anti-socialbehaviour","54.620885","-6.218148","BT294XQ"
"clandeboyedrive","2015-01","Anti-socialbehaviour","54.648005","-5.693269","BT191AH"
"clandeboyegardens","2015-01","Anti-socialbehaviour","54.596648","-5.905874","BT54PE"
"clandeboyeroad","2015-01","Anti-socialbehaviour","54.653509","-5.680808","BT191AA"
"clanmorrisstreet","2015-01","Anti-socialbehaviour","54.61305","-5.925466","BT151GU"
"clanrollapark","2015-01","Anti-socialbehaviour","54.439602","-6.36286","BT655HZ"
"claremontstreet","2015-01","Anti-socialbehaviour","54.586776","-5.937415","BT96JX"
"clarkecourt","2015-01","Anti-socialbehaviour","54.71399","-6.220506","BT414JS"
"clarmontavenue","2015-01","Anti-socialbehaviour","54.258383","-5.940603","BT319BX"
"cliftoncrescent","2015-01","Anti-socialbehaviour","54.61481","-5.943815","BT146LF"
"cliftonvilleroad","2015-01","Anti-socialbehaviour","54.61425","-5.938347","BT146LE"
"clondermottpark","2015-01","Anti-socialbehaviour","54.986032","-7.301559","BT472LF"
"clontarfheights","2015-01","Anti-socialbehaviour","54.594496","-7.321754","BT785BL"
"clooneyroad","2015-01","Anti-socialbehaviour","55.042869","-7.044257","BT476TB"
"clooneyroad","2015-01","Anti-socialbehaviour","55.036801","-7.089307","BT476TB"
"cloverbrae","2015-01","Anti-socialbehaviour","54.355937","-7.590255","BT744AB"
"cloverhillpark","2015-01","Anti-socialbehaviour","54.648058","-5.638213","BT513RF"
"coaghcrescent","2015-01","Anti-socialbehaviour","54.64884","-6.744188","BT808NH"
"colbancrescent","2015-01","Anti-socialbehaviour","54.455954","-6.331305","BT668HY"
"colchesterpark","2015-01","Anti-socialbehaviour","54.588955","-5.943524","BT125PZ"
"colensoparade","2015-01","Anti-socialbehaviour","54.579714","-5.931677","BT95BB"
"colinvale","2015-01","Anti-socialbehaviour","54.570556","-6.027232","BT170JW"
"collegeparklane","2015-01","Anti-socialbehaviour","54.352658","-7.612111","BT746GF"
"collegesquarenorth","2015-01","Anti-socialbehaviour","54.197653","-6.394186","BT357DQ"
"collegesquarenorth","2015-01","Anti-socialbehaviour","54.197876","-6.393411","BT357DQ"
"collinwardgrove","2015-01","Anti-socialbehaviour","54.66908","-5.948095","BT366DQ"
"connswaterstreet","2015-01","Anti-socialbehaviour","54.598019","-5.891737","BT41HT"
"cookecourt","2015-01","Anti-socialbehaviour","54.588541","-5.921916","BT72ER"
"coolessanwalk","2015-01","Anti-socialbehaviour","55.039971","-6.944669","BT499EN"
"corribavenue","2015-01","Anti-socialbehaviour","54.576247","-6.007763","BT119JB"
"corrinapark","2015-01","Anti-socialbehaviour","54.560234","-6.019119","BT170HA"
"crawfordsburn","2015-01","Anti-socialbehaviour","54.848229","-6.67719","BT465AH"
"creesloughgardens","2015-01","Anti-socialbehaviour","54.573705","-6.01381","BT119HL"
"crewroad","2015-01","Anti-socialbehaviour","54.31817","-5.600319","BT307UJ"
"crimeastreet","2015-01","Anti-socialbehaviour","54.607187","-5.947836","BT131LT"
"croaghangardens","2015-01","Anti-socialbehaviour","54.57592","-5.990704","BT118JG"
"crommelinplace","2015-01","Anti-socialbehaviour","54.507043","-6.042847","BT281YL"
"cromoregardens","2015-01","Anti-socialbehaviour","54.992124","-7.34701","BT489TG"
"crossreaghdrive","2015-01","Anti-socialbehaviour","54.719641","-6.193796","BT379DZ"
"culcavyroad","2015-01","Anti-socialbehaviour","54.469808","-6.087063","BT266HH"
"daisypark","2015-01","Anti-socialbehaviour","54.787475","-7.47647","BT829QD"
"dalewood","2015-01","Anti-socialbehaviour","54.684202","-5.974811","BT365WR"
"dallanhill","2015-01","Anti-socialbehaviour","54.110245","-6.244744","BT343SH"
"darraghgardens","2015-01","Anti-socialbehaviour","54.554193","-5.740649","BT235QG"
"davarravenue","2015-01","Anti-socialbehaviour","54.594379","-5.795353","BT162NT"
"daviscrescent","2015-01","Anti-socialbehaviour","54.718505","-7.379644","BT784BP"
"dawsonstreet","2015-01","Anti-socialbehaviour","54.351032","-6.655919","BT617QT"
"deanfield","2015-01","Anti-socialbehaviour","54.652844","-5.621989","BT476HY"
"decourcypark","2015-01","Anti-socialbehaviour","54.537417","-5.56478","BT222SA"
"deerparkroad","2015-01","Anti-socialbehaviour","54.619141","-5.955518","BT440DP"
"delamontpark","2015-01","Anti-socialbehaviour","54.573187","-5.879054","BT69RJ"
"deramoredrive","2015-01","Anti-socialbehaviour","55.033407","-7.266328","BT476XL"
"dergvillas","2015-01","Anti-socialbehaviour","54.822299","-7.47157","BT829BU"
"derrinroad","2015-01","Anti-socialbehaviour","54.350602","-7.641273","BT746BB"
"derrychararoad","2015-01","Anti-socialbehaviour","54.343561","-7.630325","BT746JF"
"derrystreet","2015-01","Anti-socialbehaviour","54.468388","-6.337123","BT679DE"
"devenaghway","2015-01","Anti-socialbehaviour","54.871527","-6.273283","BT436EW"
"deverneypark","2015-01","Anti-socialbehaviour","54.594254","-7.261995","BT790ES"
"dillavenue","2015-01","Anti-socialbehaviour","54.506684","-6.03621","BT275HP"
"donaghmoreroad","2015-01","Anti-socialbehaviour","54.505225","-6.774888","BT701HD"
"donegallpass","2015-01","Anti-socialbehaviour","54.589552","-5.933747","BT71BS"
"donegallquay","2015-01","Anti-socialbehaviour","54.602355","-5.922125","BT13NJ"
"donegallroad","2015-01","Anti-socialbehaviour","54.589437","-5.934882","BT126DY"
"donegallsquarenorth","2015-01","Anti-socialbehaviour","54.597228","-5.931238","BT15GB"
"donegallsquarewest","2015-01","Anti-socialbehaviour","54.596433","-5.931541","BT16JH"
"donorecrescent","2015-01","Anti-socialbehaviour","54.711549","-6.185575","BT411JA"
"downpatrickstreet","2015-01","Anti-socialbehaviour","54.236922","-6.159027","BT247AY"
"dromoreroad","2015-01","Anti-socialbehaviour","54.729575","-5.780858","BT782LW"
"drumachosepark","2015-01","Anti-socialbehaviour","55.044233","-6.936923","BT490NZ"
"drumadragh","2015-01","Anti-socialbehaviour","55.156854","-6.62231","BT522PA"
"drumahoegardens","2015-01","Anti-socialbehaviour","54.840128","-5.861459","BT402SJ"
"drumarddrive","2015-01","Anti-socialbehaviour","54.516972","-6.069677","BT513EU"
"drumarddrive","2015-01","Anti-socialbehaviour","54.516196","-6.071181","BT513EU"
"drumardpark","2015-01","Anti-socialbehaviour","55.016206","-7.351981","BT480RL"
"drumcorhill","2015-01","Anti-socialbehaviour","54.351765","-7.639894","BT746BQ"
"drumeeroad","2015-01","Anti-socialbehaviour","54.240524","-5.923514","BT319HQ"
"drummeenroad","2015-01","Anti-socialbehaviour","54.685994","-6.700491","BT457YW"
"drumraghavenue","2015-01","Anti-socialbehaviour","54.602116","-7.30162","BT781DP"
"drumraneroad","2015-01","Anti-socialbehaviour","54.945496","-6.934381","BT474NL"
"drumtara","2015-01","Anti-socialbehaviour","54.846015","-6.270932","BT423DQ"
"dublinroad","2015-01","Anti-socialbehaviour","54.591086","-5.933066","BT781HQ"
"dublinstreet","2015-01","Anti-socialbehaviour","54.717334","-7.378949","BT68ES"
"dufferinavenue","2015-01","Anti-socialbehaviour","54.659957","-5.672675","BT203AD"
"dufferinavenue","2015-01","Anti-socialbehaviour","54.65944","-5.670535","BT203AD"
"dukestreet","2015-01","Anti-socialbehaviour","54.869126","-6.278199","BT436BL"
"dunamoydrive","2015-01","Anti-socialbehaviour","54.71697","-6.189383","BT411LD"
"dunboegardens","2015-01","Anti-socialbehaviour","55.146182","-6.774502","BT514XN"
"duncairnparade","2015-01","Anti-socialbehaviour","54.610691","-5.932505","BT152ET"
"dunfaneavenue","2015-01","Anti-socialbehaviour","54.878546","-6.264584","BT437NE"
"dungannonroad","2015-01","Anti-socialbehaviour","54.538814","-6.70488","BT809AA"
"dunleadypark","2015-01","Anti-socialbehaviour","54.598049","-5.796114","BT161JU"
"dunlucestreet","2015-01","Anti-socialbehaviour","55.203902","-6.65232","BT401JG"
"dunmoreavenue","2015-01","Anti-socialbehaviour","54.619958","-5.933769","BT153GR"
"dunowengardens","2015-01","Anti-socialbehaviour","54.623757","-5.955906","BT146NQ"
"dunravengardens","2015-01","Anti-socialbehaviour","54.589762","-5.886052","BT55LG"
"dunsuivnishdrive","2015-01","Anti-socialbehaviour","55.18167","-6.697073","BT557EW"
"dunturkroad","2015-01","Anti-socialbehaviour","54.316681","-5.908767","BT319PF"
"durnascallonlane","2015-01","Anti-socialbehaviour","54.753846","-6.6721","BT455LZ"
"eanhill","2015-01","Anti-socialbehaviour","54.638996","-5.838481","BT189LQ"
"earlscourtstreet","2015-01","Anti-socialbehaviour","54.596874","-5.959064","BT127AS"
"eastbreadstreet","2015-01","Anti-socialbehaviour","54.597875","-5.890692","BT55AP"
"eaststreet","2015-01","Anti-socialbehaviour","54.644655","-5.542194","BT237DD"
"eaststreet","2015-01","Anti-socialbehaviour","54.101899","-6.253506","BT237DD"
"edenterrace","2015-01","Anti-socialbehaviour","54.827798","-7.467857","BT358GY"
"edenvale","2015-01","Anti-socialbehaviour","54.335679","-6.629669","BT309PU"
"edenvalegardens","2015-01","Anti-socialbehaviour","54.523288","-6.073626","BT282UT"
"edwardstreet","2015-01","Anti-socialbehaviour","54.350222","-6.656545","BT666DD"
"eglantineavenue","2015-01","Anti-socialbehaviour","54.581301","-5.941976","BT96DX"
"elmcorner","2015-01","Anti-socialbehaviour","54.544246","-6.00906","BT179PY"
"elmwoodavenue","2015-01","Anti-socialbehaviour","54.584479","-5.937639","BT96AZ"
"enniskeen","2015-01","Anti-socialbehaviour","54.448458","-6.380637","BT654AE"
"ennisplace","2015-01","Anti-socialbehaviour","55.019967","-7.353108","BT480LW"
"erskinepark","2015-01","Anti-socialbehaviour","54.75876","-6.005284","BT399DB"
"erskinestreet","2015-01","Anti-socialbehaviour","54.180676","-6.339564","BT356BX"
"etnadrive","2015-01","Anti-socialbehaviour","54.617911","-5.959295","BT147LH"
"eustonstreet","2015-01","Anti-socialbehaviour","54.588628","-5.898364","BT69AF"
"evishgrove","2015-01","Anti-socialbehaviour","54.823589","-7.45461","BT828HR"
"exchangeroad","2015-01","Anti-socialbehaviour","54.852423","-5.818716","BT401RX"
"fairfieldcourt","2015-01","Anti-socialbehaviour","54.590223","-5.667217","BT238GA"
"fairfieldheights","2015-01","Anti-socialbehaviour","54.194814","-6.353661","BT356SJ"
"fairyhill","2015-01","Anti-socialbehaviour","54.863951","-6.318527","BT421FH"
"fallsroad","2015-01","Anti-socialbehaviour","54.580166","-5.980209","BT119AB"
"farmhurstgreen","2015-01","Anti-socialbehaviour","54.580798","-5.847551","BT57PB"
"farmleycrescent","2015-01","Anti-socialbehaviour","54.669195","-5.96077","BT367TX"
"farranseerpark","2015-01","Anti-socialbehaviour","55.099933","-6.710606","BT514NA"
"fergleenpark","2015-01","Anti-socialbehaviour","55.030151","-7.327798","BT488LE"
"fergusonstreet","2015-01","Anti-socialbehaviour","54.98951","-7.325588","BT486TA"
"fernabbeycourt","2015-01","Anti-socialbehaviour","55.035573","-7.325658","BT488RN"
"fernabbeydrive","2015-01","Anti-socialbehaviour","55.035973","-7.323196","BT488RE"
