"","Locality","Townland","Town"
"30045",NA,"RATHBRADY MORE","LIMAVADY"
"30046",NA,"RATHBRADY MORE","LIMAVADY"
"30049",NA,"COOLESSAN","LIMAVADY"
"30052",NA,"ENAGH","LIMAVADY"
"30053",NA,"COOLESSAN","LIMAVADY"
"30054",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"30055",NA,"COOLESSAN","LIMAVADY"
"30056",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"30057",NA,"RATHBRADY MORE","LIMAVADY"
"30060",NA,"ENAGH","LIMAVADY"
"30061",NA,"ENAGH","LIMAVADY"
"30063",NA,"RATHBRADY MORE","LIMAVADY"
"30064",NA,"COOLESSAN","LIMAVADY"
"30066",NA,"RATHBRADY MORE","LIMAVADY"
"30067",NA,"RATHBRADY MORE","LIMAVADY"
"30068",NA,"ENAGH","LIMAVADY"
"30069",NA,"RATHBRADY MORE","LIMAVADY"
"30071",NA,"RATHBRADY MORE","LIMAVADY"
"30072",NA,"ENAGH","LIMAVADY"
"30075",NA,"COOLESSAN","LIMAVADY"
"30076",NA,"BOVALLY","LIMAVADY"
"30078",NA,"ENAGH","LIMAVADY"
"30084",NA,"COOLESSAN","LIMAVADY"
"30085",NA,"ENAGH","LIMAVADY"
"30086",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"30087",NA,"RATHBRADY MORE","LIMAVADY"
"30088",NA,"ENAGH","LIMAVADY"
"30089",NA,"BOVALLY","LIMAVADY"
"30090",NA,"BOVALLY","LIMAVADY"
"30091",NA,"CARRAN","LIMAVADY"
"30092",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"30093",NA,"TERRYDOO CLYDE","LIMAVADY"
"30094",NA,"EDENMORE","LIMAVADY"
"30095",NA,"ARDMORE","LIMAVADY"
"30096",NA,"ARDMORE","LIMAVADY"
"30097",NA,"ARDMORE","LIMAVADY"
"30098",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"30099",NA,"CARRAN","LIMAVADY"
"30101",NA,"ENAGH","LIMAVADY"
"30102",NA,"GLEBE","LIMAVADY"
"30104",NA,"RATHBRADY MORE","LIMAVADY"
"30105",NA,"ENAGH","LIMAVADY"
"30108",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"30110",NA,"COOLESSAN","LIMAVADY"
"30112",NA,"BOVALLY","LIMAVADY"
"30113",NA,"CARRAN","LIMAVADY"
"30114",NA,"BOVALLY","LIMAVADY"
"30116",NA,"RATHBRADY MORE","LIMAVADY"
"30119",NA,"RATHBRADY MORE","LIMAVADY"
"30120",NA,"ENAGH","LIMAVADY"
"30121",NA,"ENAGH","LIMAVADY"
"30122",NA,"ENAGH","LIMAVADY"
"30148",NA,"GLEBE","LIMAVADY"
"30182",NA,"CARRAN","LIMAVADY"
"30373",NA,"BALLYMORE","LIMAVADY"
"35790",NA,"DRUMSURN LOWER","LIMAVADY"
"36308",NA,"CARRAN","LIMAVADY"
"36309",NA,"BOVALLY","LIMAVADY"
"36321",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"36373","FRUITHILL","CARBULLION","LIMAVADY"
"36442",NA,"BALLYRISK MORE","LIMAVADY"
"36634","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"36725",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"36726",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"36943",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"37482",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"37584",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"37953",NA,"BOVALLY","LIMAVADY"
"37975",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"38133",NA,"BOVALLY","LIMAVADY"
"38363",NA,"BOVALLY","LIMAVADY"
"38364",NA,"KEADY","LIMAVADY"
"38392",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"38486",NA,"ENAGH","LIMAVADY"
"38507",NA,"ENAGH","LIMAVADY"
"38508",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"38509",NA,"ENAGH","LIMAVADY"
"38588",NA,"ENAGH","LIMAVADY"
"38616",NA,"BOVALLY","LIMAVADY"
"38617",NA,"BOVALLY","LIMAVADY"
"38619",NA,"ENAGH","LIMAVADY"
"38657",NA,"BOVALLY","LIMAVADY"
"39630",NA,"RATHBRADY MORE","LIMAVADY"
"39650",NA,"RATHBRADY MORE","LIMAVADY"
"39726",NA,"CARRAN","LIMAVADY"
"39740",NA,"BOVALLY","LIMAVADY"
"39744",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"39895",NA,"COOLESSAN","LIMAVADY"
"40026",NA,"CARRAN","LIMAVADY"
"40098",NA,"DROMORE","LIMAVADY"
"40149",NA,"MULKEERAGH","LIMAVADY"
"40201",NA,"DRUMSURN LOWER","LIMAVADY"
"40251",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"40281",NA,"RATHBRADY MORE","LIMAVADY"
"40326",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"40420",NA,"OUGHTYMOYLE","LIMAVADY"
"40927",NA,"BOVALLY","LIMAVADY"
"40993",NA,"WALWORTH","LIMAVADY"
"41009",NA,"BOVALLY","LIMAVADY"
"41282",NA,"WALWORTH","LIMAVADY"
"41749",NA,"RATHBRADY MORE","LIMAVADY"
"41750",NA,"ENAGH","LIMAVADY"
"41753",NA,"OUGHTYMOYLE","LIMAVADY"
"41758",NA,"BALLYLEAGRY","LIMAVADY"
"41784",NA,"ENAGH","LIMAVADY"
"41789",NA,"CARROWCLARE","LIMAVADY"
"41831",NA,"GORTNAMONEY","LIMAVADY"
"41836",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"41837",NA,"DEER PARK","LIMAVADY"
"41847",NA,"RATHBRADY MORE","LIMAVADY"
"41853","BOVALLY","BOVALLY","LIMAVADY"
"41860",NA,"LARGY","LIMAVADY"
"41861",NA,"ENAGH","LIMAVADY"
"41862",NA,"ENAGH","LIMAVADY"
"41870",NA,"RATHBRADY MORE","LIMAVADY"
"41882",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"41969",NA,"GORTNAMONEY","LIMAVADY"
"43023",NA,"CARROWREAGH","LIMAVADY"
"43063",NA,"BALLYNESS","LIMAVADY"
"43487",NA,"LISNAGRIB","LIMAVADY"
"43488",NA,"LISNAGRIB","LIMAVADY"
"43498",NA,"ENAGH","LIMAVADY"
"43499",NA,"CARRAN","LIMAVADY"
"43691",NA,"BOVALLY","LIMAVADY"
"43727",NA,"ENAGH","LIMAVADY"
"44277",NA,"MIDDLE DOAGHS UPPER","LIMAVADY"
"44584",NA,"BELLARENA","LIMAVADY"
"44616",NA,"BROIGHTER","LIMAVADY"
"44842",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"44843",NA,"COOLESSAN","LIMAVADY"
"44844",NA,"COOLESSAN","LIMAVADY"
"44845",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"44846",NA,"RATHBRADY MORE","LIMAVADY"
"44847",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"44848",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"44850",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"44851",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"44852",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"44853",NA,"COOLESSAN","LIMAVADY"
"44856",NA,"ENAGH","LIMAVADY"
"44858",NA,"RATHBRADY MORE","LIMAVADY"
"44861",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"44862",NA,"ENAGH","LIMAVADY"
"44866",NA,"GLACK","LIMAVADY"
"44868",NA,"BOVALLY","LIMAVADY"
"44869",NA,"ENAGH","LIMAVADY"
"44870",NA,"COOLESSAN","LIMAVADY"
"44872",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"44874",NA,"DROMORE","LIMAVADY"
"44876",NA,"BALLYDARROG","LIMAVADY"
"44877",NA,"ENAGH","LIMAVADY"
"44878",NA,"BOVALLY","LIMAVADY"
"44879",NA,"ENAGH","LIMAVADY"
"44880",NA,"BOVALLY","LIMAVADY"
"44881",NA,"BOVALLY","LIMAVADY"
"44882",NA,"RATHBRADY MORE","LIMAVADY"
"44883",NA,"ENAGH","LIMAVADY"
"44884",NA,"CAHERY","LIMAVADY"
"44886",NA,"DRUMMOND","LIMAVADY"
